Title,Item Description,Hyperlink,Date,Contributor
Cats,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.,Cats,: 1874,"Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894"
[Cat],1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.,[Cat],: 1840,"Andō, Hiroshige"
[Cats],1 negative : glass ; 4 x 5 in. or smaller,[Cats],: 1923,Harris & Ewing
[Cats],1 negative : glass ; 4 x 5 in. or smaller,[Cats],: 1934,Harris & Ewing
[Cat],"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2.",[Cat],: 1569,
[Cat],"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4.",[Cat],: 1569,
Cat,1 print : col. etching ; 35.3 x 25.3 cm.,Cat,: 1951,"Goldstein, Milton"
"Dandie; the tale of a yellow cat,",Also available in digital form.,"Dandie; the tale of a yellow cat,",: 1924,"Hungerford, Florence"
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",Also available in digital form.,"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",: 1895,"Huidekoper, Rush Shippen"
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",Also available in digital form.,"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",: 1909,"Champion, Dorothy Bevill"
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",Also available in digital form.,"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",: 1916,"Forbush, Edward Howe"
"Pussy and her language,",Also available in digital form.,"Pussy and her language,",: 1895,"Grimaldi, Alphonse Leon - Clark, Marvin R."
John B. Moisant,"1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)",John B. Moisant,: 1911,
The nomad of the nine lives,Also available in digital form on the Library of Congress Web site.,The nomad of the nine lives,: 1913,"Friebe, A. Frances (Abby Frances) - Atwood, Clara R."
Cat show,"28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people...",Cat show,: 1953,"Brooks, Charlotte"
The Cat,1 photomechanical print : photogravure.,The Cat,: 1916,"Eugene, Frank"
[A cat],1 drawing : pencil.,[A cat],: 1870,"Stephens, Alice Barber"
Domestic cat,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left.",Domestic cat,: 1878,
[Two cats],1 print (poster) : color.,[Two cats],: 1894,"Steinlen, Théophile Alexandre"
Black cat,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.,Black cat,: 1952,American Merri-Lei Corporation
[Domestic cat],"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)",[Domestic cat],: 1878,
"""Nervous Cats""",1 drawing.,"""Nervous Cats""",: 1947,"Block, Herbert"
Fat cat,1 drawing.,Fat cat,: 1946,"Block, Herbert"
"Poem 061:
        

        
            
                
                    
                    Sister Cat",,"Poem 061:
        

        
            
                
                    
                    Sister Cat",,"Mayes, Frances"
"Poem 116:
        

        
            
                
                    
                    Cat Scat",,"Poem 116:
        

        
            
                
                    
                    Cat Scat",,"Grennan, Eamon"
Nashville Cats!,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]",Nashville Cats!,: 2018-04-05,"Dell Jenkins, Mary"
"Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",,Schrödinger's cat,: 2009,"Small Press Expo Collection (Library of Congress) - Wong, Ken"
"""Cat"" Hat",,"""Cat"" Hat",: 1980-10,"Harrell, Alfred"
Cat song,sheet music | 1 score | Sheet Music (Form).,Cat song,: 1891,"Pugsley, L. E. - J. C. Groene & Co."
Cat song,sheet music | 1 score | Sheet Music (Form).,Cat song,: 1873,"Williams, Gus - T. B. Harms & Co."
Whose Cat,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,...",Whose Cat,,
Cat family,1 print.,Cat family,: 1870,
"""Naughty cat!""",1 print : lithograph.,"""Naughty cat!""",: 1874,Currier & Ives
Emmons cat,1 negative : glass ; 5 x 7 in.,Emmons cat,: 1894,"C.M. Bell (Firm : Washington, D.C.)"
Emmons cat,1 negative : glass ; 5 x 7 in.,Emmons cat,: 1894,"C.M. Bell (Firm : Washington, D.C.)"
Emmons cat,1 negative : glass ; 5 x 7 in.,Emmons cat,: 1894,"C.M. Bell (Firm : Washington, D.C.)"
