Title,Date of Release,Length
The Godfather,(1972),175 min
The Shawshank Redemption,(1994),142 min
Schindler's List,(1993),195 min
Raging Bull,(1980),129 min
Casablanca,(1942),102 min
Citizen Kane,(1941),119 min
Gone with the Wind,(1939),238 min
The Wizard of Oz,(1939),102 min
One Flew Over the Cuckoo's Nest,(1975),133 min
Lawrence of Arabia,(1962),218 min
Vertigo,(1958),128 min
Psycho,(1960),109 min
The Godfather Part II,(1974),202 min
On the Waterfront,(1954),108 min
Sunset Blvd.,(1950),110 min
Forrest Gump,(1994),142 min
The Sound of Music,(1965),172 min
12 Angry Men,(1957),96 min
West Side Story,(1961),153 min
Star Wars,(1977),121 min
2001: A Space Odyssey,(1968),149 min
E.T.,(1982),115 min
The Silence of the Lambs,(1991),118 min
Chinatown,(1974),130 min
The Bridge on the River Kwai,(1957),161 min
Singin' in the Rain,(1952),103 min
It's a Wonderful Life,(1946),130 min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min
Some Like It Hot,(1959),121 min
Ben-Hur,(1959),212 min
Apocalypse Now,(1979),147 min
Amadeus,(1984),160 min
The Lord of the Rings: The Return of the King,(2003),201 min
Gladiator,(2000),155 min
Titanic,(1997),194 min
From Here to Eternity,(1953),118 min
Saving Private Ryan,(1998),169 min
Unforgiven,(1992),130 min
Raiders of the Lost Ark,(1981),115 min
Rocky,(1976),120 min
A Streetcar Named Desire,(1951),122 min
The Philadelphia Story,(1940),112 min
To Kill a Mockingbird,(1962),129 min
An American in Paris,(1951),114 min
The Best Years of Our Lives,(1946),170 min
My Fair Lady,(1964),170 min
A Clockwork Orange,(1971),136 min
Doctor Zhivago,(1965),197 min
The Searchers,(1956),119 min
Jaws,(1975),124 min
Patton,(1970),172 min
Butch Cassidy and the Sundance Kid,(1969),110 min
The Treasure of the Sierra Madre,(1948),126 min
"The Good, the Bad and the Ugly",(1966),178 min
The Apartment,(1960),125 min
Platoon,(1986),120 min
High Noon,(1952),85 min
Braveheart,(1995),178 min
Dances with Wolves,(1990),181 min
Jurassic Park,(1993),127 min
The Exorcist,(1973),122 min
The Pianist,(2002),150 min
Goodfellas,(1990),145 min
The Deer Hunter,(1978),183 min
All Quiet on the Western Front,(1930),152 min
Bonnie and Clyde,(1967),111 min
The French Connection,(1971),104 min
City Lights,(1931),87 min
It Happened One Night,(1934),105 min
A Place in the Sun,(1951),122 min
Midnight Cowboy,(1969),113 min
Mr. Smith Goes to Washington,(1939),129 min
Rain Man,(1988),133 min
Annie Hall,(1977),93 min
Fargo,(1996),98 min
Giant,(1956),201 min
Shane,(1953),118 min
The Grapes of Wrath,(1940),129 min
The Green Mile,(1999),189 min
Close Encounters of the Third Kind,(1977),138 min
Nashville,(1975),160 min
Network,(1976),121 min
The Graduate,(1967),106 min
American Graffiti,(1973),110 min
Pulp Fiction,(1994),154 min
Terms of Endearment,(1983),132 min
Good Will Hunting,(1997),126 min
The African Queen,(1951),105 min
Stagecoach,(1939),96 min
Mutiny on the Bounty,(1935),132 min
The Great Dictator,(1940),125 min
Double Indemnity,(1944),107 min
The Maltese Falcon,(1941),100 min
Wuthering Heights,(1939),104 min
Taxi Driver,(1976),114 min
Rear Window,(1954),112 min
The Third Man,(1949),93 min
Rebel Without a Cause,(1955),111 min
North by Northwest,(1959),136 min
Yankee Doodle Dandy,(1942),126 min
