Title,Description
Food Price Outlook,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
National Flood Hazard Layer (NFHL),The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
US EPA Nonattainment Areas and Designations,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
"U.S. Crude Oil, Natural Gas, and Natural Gas Liquids Reserves",The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
U.S. Local Climatological Data (LCD),The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
"The EPA Automotive Trends Report: Greenhouse Gas Emissions, Fuel Economy, and Technology since 1975",The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
"U.S. Billion-dollar Weather and Climate Disasters, 1980 - present (NCEI Accession 0209268)",The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
National Greenhouse Gas Emission Inventory,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
NOAA Digital Coast Sea Level Rise and Coastal Flooding Impacts Viewer,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Commercial and Residential Hourly Load Profiles for all TMY3 Locations in the United States,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Clean Air Status and Trends Network (CASTNET) Download Data Module,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
"Report on U.S. Methane Emissions 1990-2020: Inventories, Projections, and Opportunities for Reductions: 2001 Updated emission and cost estimates",The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
NACP North American Forest Dynamics Project: Forest Disturbance and Regrowth Data,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Sea Level Trends: Sea Level Variations of the United States Derived from National Water Level Observation Network Stations,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Emission & Generation Resource Integrated Database (eGRID),The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
USGS Water Use Data for the Nation - National Water Information System (NWIS),The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Maritime Limits and Boundaries of United States of America,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Social Vulnerability Index (SoVI) for the U.S. Coastal States based on the 2010 Census Tracts,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
Climate Change Impacts on Air Quality and Human Health,The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
National Greenhouse Gas Emission Inventory (EV-GHG),The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a...
